A. R. Hye
Friedensreich Hundertwasser
Wilbur R. Ingalls
Muzharul Islam
Arata Isozaki
Arne Jacobsen
Hugh Newell Jacobsen
Helmut Jahn
Peter Janesch
Benno Janssen
Pierre Jeanneret
Peder Vilhelm Jensen-Klint
Jon Jerde
Philip Johnson
Clarence H. Johnston
E. Fay Jones
Josep Maria Jujol
Ryszard Jurkowski
Albert Kahn
Fazlur Rahman Khan
Louis Kahn
Maxwell M. Kalman
Mariam Kamara
Louis Kamper
Jan Kaplický
Katayama Tōkuma
Oskar Kaufmann
Kendrick Bangs Kellogg
Raymond M. Kennedy
Hugh T. Keyes
Nader Khalili
Edward Killingsworth
Charles Klauder
George Klenzendorff
Michel de Klerk
Ralph Knott
Austin Eldon Knowlton
Carl Koch
Hans Kollhoff
Musa Konsulova
Rem Koolhaas
Károly Kós
Johannes Krahn
Piet Kramer
Léon Krier
Kisho Kurokawa
Edgar-Johan Kuusik
Ivan Sergeyevich Kuznetsov
Thomas W. Lamb
G. Albert Lansburgh
Eve Laron
Henning Larsen
Denys Lasdun
Vilhelm Lauritzen
John Lautner
Ricardo Legorreta
William Lescaze
Jan Letzel
Amanda Levete
Sigurd Lewerentz
Liang Sicheng
Adalberto Libera
Daniel Libeskind
João Filgueiras Lima
Maya Lin
El Lissitzky
Gordon W. Lloyd
Leandro Locsin
Elmar Lohk
Adolf Loos
Berthold Lubetkin
Bill Lucas
Hans Luckhardt
Wassili Luckhardt
Owen Luder
Edwin Lutyens
Ivar Lykke
George Washington Maher
Fumihiko Maki
Charles Rennie Mackintosh
Imre Makovecz
Robert Mallet-Stevens
Angelo Mangiarotti
George R. Mann
Robert Matthew
George D. Mason
Edward Maufe
Bernard Maybeck
Wayne McAllister
Raymond McGrath
Roy Mason
François Massau
Richard Meier
Konstantin Melnikov
Erich Mendelsohn
Paulo Mendes da Rocha
Henry Mercer
Geoffrey Harley Mewton
Johan van der Mey
Hannes Meyer
Giovanni Michelucci
Ludwig Mies van der Rohe
Andrés Mignucci
Vlado Milunić
James Rupert Miller
Dom Mintoff
F. A. Minuth
Hadi Mirmiran
Enric Miralles
Antonio Miró Montilla
Samuel Mockbee
Erik Møller
Rafael Moneo
Roger Montgomery
Adolfo Moran
Riccardo Morandi
Luigi Moretti
Arthur Cotton Moore
Charles Willard Moore
Lester S. Moore
Julia Morgan
Raymond Moriyama
Eric Owen Moss
Michel Mossessian
Frederick Augustus Muhlenberg
Glenn Murcutt
C. F. Møller
Barton Myers
Robert Natus
Pier Luigi Nervi
Peter Newell
Richard Neutra
Ngo Viet Thu
Oscar Niemeyer
Enamul Karim Nirjhar
Oscar Nitzchke
Percy Erskine Nobbs
Samuel Tilden Norton
Ellice Nosworthy
Jean Nouvel
Martin Nyrop
Gyo Obata
Samuel Oghale Oboh
John J. O'Malley
Yafes Osman
Frei Otto
Jacobus Johannes Pieter Oud
Félix Candela Outeriño
Paul Paget
Henry Paley
Mustapha Khalid Palash
Mihály Michael Párkányi
Mihály Párkányi
John and Donald Parkinson
John Parkinson
Donald Parkinson
John Pawson
Arthur Peabody
I. M. Pei
César Pelli
Hubert Petschnigg
Frits Peutz
Timothy L. Pflueger
Renzo Piano
Stjepan Planić
Joze Plecnik
Hans Poelzig
Gino Pollini
James Polshek
Donald Perry Polsky
Gio Ponti
John Russell Pope
John Portman
Christian de Portzamparc
George B. Post
Fernand Pouillon
Henry Price
Alain Provost
Freeman A. Pretzinger
William Gray Purcell
C. W. Rapp
George L. Rapp
Isaac Rapp
Ralph Rapson
Steen Eiler Rasmussen
Antonin Raymond
Affonso Eduardo Reidy
Charles Herbert Reilly
Albert Richardson
Gerrit Rietveld
Isabel Roberts
Harry G. Robinson III
Kevin Roche
Ernesto Nathan Rogers
Richard Rogers
Mario Romañach
Aldo Rossi
Wirt C. Rowland
Paul Rudolph
Robert Tor Russell
